name,cuisine,price_level,lat,lon,image_url,category,category_international,opening_hours,address,facebook,phone,email,url,RunDate
The Fisherman Cafe,ร้านกาแฟ/ชา/พิซซ่า/อาหารอินเดีย,101 - 250 บาท,12.927871,100.967082,https://img.wongnai.com/p/_-x_/2020/08/22/be7962b987bb493a91643131975ef083.jpg,ร้านกาแฟ/ชา/พิซซ่า/อาหารอินเดีย,Coffee Shop/Tea House/Pizza/Indian,"{'open': True, 'message': 'จนถึง 22:00', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': 'ซอย มาบประข้นล่าง 2', 'hint': 'เลียบขอบอ่างเก็บน้ำมาบประชัน', 'subDistrict': {'id': 306, 'name': 'โป่ง'}, 'district': {'id': 301, 'name': 'บางละมุง'}, 'city': {'id': 269, 'name': 'ชลบุรี'}}",-,090-397-9425,-,https://www.wongnai.com/delivery/businesses/175912Mt,6/29/2021 11:55
หมูปิ้งพี่อ้วน,ฟาสต์ฟู้ด/จานด่วน,-,9.1361595,99.3283356,https://img.wongnai.com/p/_-x_/2021/06/12/f4e13489b7a540039f9501fe40ee80b8.jpg,ฟาสต์ฟู้ด/จานด่วน,Fast Food,"{'open': False, 'message': 'จะเปิดในเวลา 16:30', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '18, 56 ถนนการุณราษฎร์ ตำบลตลาด อำเภอเมืองสุราษฎร์ธานี สุราษฎร์ธานี ประเทศไทย', 'hint': '', 'subDistrict': {'id': 7277, 'name': 'ตลาด'}, 'district': {'id': 7276, 'name': 'เมืองสุราษฎร์ธานี'}, 'city': {'id': 7275, 'name': 'สุราษฎร์ธานี'}}",-,968525827,-,https://www.wongnai.com/delivery/businesses/953585ic,6/29/2021 11:55
แม่แม่อร่อย By แหม่ม,อาหารไทย,-,13.62328984,100.6150925,https://img.wongnai.com/p/_-x_/2021/04/23/67a32ec651b64a1e9d71ec8f3e176dd2.jpg,อาหารไทย,Thai,"{'open': False, 'message': 'จะเปิดในวันพุธ เวลา 09:00', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '5 ซอย หมู่บ้านศรีเพชรการเคหะ ตำบลเทพารักษ์ อำเภอเมืองสมุทรปราการ สมุทรปราการ ประเทศไทย', 'hint': '', 'subDistrict': {'id': 26964, 'name': 'บางเมืองใหม่'}, 'district': {'id': 932, 'name': 'เมืองสมุทรปราการ'}, 'city': {'id': 931, 'name': 'สมุทรปราการ'}}",-,994930656,-,https://www.wongnai.com/delivery/businesses/623031fU,6/29/2021 11:55
แฟนซีวุ้นคุณมด,ของหวาน,-,10.5036111,99.1384444,https://img.wongnai.com/p/_-x_/2021/06/09/10aa19e26e084c92bdf578c589b123d7.jpg,ของหวาน,Dessert,"{'open': True, 'message': 'จนถึง 20:00', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': 'Unnamed Road, ตำบล วังไผ่ อำเภอเมืองชุมพร ชุมพร ประเทศไทย', 'hint': '', 'subDistrict': {'id': 2085, 'name': 'วังไผ่'}, 'district': {'id': 2075, 'name': 'เมืองชุมพร'}, 'city': {'id': 2074, 'name': 'ชุมพร'}}",-,825171456,-,https://www.wongnai.com/delivery/businesses/902618Xk,6/29/2021 11:55
อบอุ่นเบเกอรี่,เบเกอรี/เค้ก,ต่ำกว่า 100 บาท,13.62258843,100.6788322,https://img.wongnai.com/p/_-x_/2017/11/04/f395927f2b114d918f8a51f63abfae55.jpg,เบเกอรี/เค้ก,Bakery/Cake,"{'open': False, 'message': 'จะเปิดในวันที่ 1 ก.ค. 2021 เวลา 6:00', 'temporaryCloseStartDate': {'iso': '2021-05-01T00:00:00+07:00', 'full': 'ส., 1 พ.ค. 2021 00:00:00', 'timePassed': 'เมื่อ เดือนที่แล้ว'}, 'temporaryCloseEndDate': {'iso': '2021-06-30T23:59:59+07:00', 'full': 'พ., 30 มิ.ย. 2021 23:59:59', 'timePassed': 'สักครู่ที่ผ่านมา'}, 'closingSoon': False}","{'street': '50/296 มบ.พฤกษา85 ม.2 ต.บางพลีใหญ่ Unnamed Road, Samut Prakan อำเภอบางพลี สมุทรปราการ ประเทศไทย', 'hint': '', 'subDistrict': {'id': 959, 'name': 'บางพลีใหญ่'}, 'district': {'id': 955, 'name': 'บางพลี'}, 'city': {'id': 931, 'name': 'สมุทรปราการ'}}",-,961808171,-,https://www.wongnai.com/delivery/businesses/854640NQ,6/29/2021 11:55
Aunda coffee,ร้านกาแฟ/ชา,-,13.6210647,100.76369,https://img.wongnai.com/p/_-x_/2020/11/24/ae5fb6042460445fae9289e6d00bc6a5.jpg,ร้านกาแฟ/ชา,Coffee Shop/Tea House,"{'open': False, 'message': 'จะเปิดในวันพุธ เวลา 07:00', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': 'ซอยเปรมฤทัยกลาง ตำบลบางโฉลง อำเภอบางพลี สมุทรปราการ ประเทศไทย', 'hint': '', 'subDistrict': {'id': 957, 'name': 'บางโฉลง'}, 'district': {'id': 955, 'name': 'บางพลี'}, 'city': {'id': 931, 'name': 'สมุทรปราการ'}}",-,844292346,-,https://www.wongnai.com/delivery/businesses/684154eW,6/29/2021 11:55
ผัดไทแม่ใหญ่ต้นตำรับสิงห์บุรี อัมรินทร์พลาซ่า,อาหารไทย,ต่ำกว่า 100 บาท,13.7435291,100.5412111,https://img.wongnai.com/p/_-x_/2018/05/25/f5f7d1b57a9d495791a92b8ee9c1b573.jpg,อาหารไทย,Thai,"{'open': False, 'message': 'จะเปิดในเวลา 10:00', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': 'ถนน เพลินจิต', 'hint': 'อยู่ในอัมรินทร์\u200bพลาซ่า', 'subDistrict': {'id': 45, 'name': 'ปทุมวัน'}, 'district': {'id': 42, 'name': 'ปทุมวัน'}, 'city': {'id': 1, 'name': 'กรุงเทพมหานคร'}}",-,"9,464,624,420,959,610,000",-,https://www.wongnai.com/delivery/businesses/325530Io,6/29/2021 11:55
ขาหมูลุงเสือ,อาหารไทย,-,13.71322887,100.5916717,https://img.wongnai.com/p/_-x_/2020/08/25/89d7928106a04bdfa564b35a76d31aad.jpg,อาหารไทย,Thai,"{'open': False, 'message': 'จะเปิดในวันศุกร์ เวลา 18:00', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '81/55 ซอยภูมิจิตร, ถนนพระรามที่ 4, แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร, แขวง พระโขนง เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย', 'hint': 'ร้านขายยางรถยนต์', 'subDistrict': {'id': 158, 'name': 'พระโขนง'}, 'district': {'id': 155, 'name': 'คลองเตย'}, 'city': {'id': 1, 'name': 'กรุงเทพมหานคร'}}",-,"8,885,455,560,992,190,000",-,https://www.wongnai.com/delivery/businesses/615884yD,6/29/2021 11:55
ยำยำแซบเวอร์ พระประแดง,อาหารตามสั่ง/อาหารกล่อง/ข้าวกล่อง เดลิเวอรี,ต่ำกว่า 100 บาท,13.6814948,100.5670569,https://img.wongnai.com/p/_-x_/2020/03/27/c866c6bd34f143f38e1834f665be9d21.jpg,อาหารตามสั่ง/อาหารกล่อง/ข้าวกล่อง เดลิเวอรี,À La Carte/Delivery Only,"{'open': False, 'message': 'จะเปิดในวันพุธ เวลา 07:30', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': 'ซอย วัดบางน้ำผึ้ง', 'hint': 'ร้านอยู่ปากซอยเพรชหึง26เข้ามาซ้ายมือ50เมตร', 'subDistrict': {'id': 974, 'name': 'บางน้ำผึ้ง'}, 'district': {'id': 966, 'name': 'พระประแดง'}, 'city': {'id': 931, 'name': 'สมุทรปราการ'}}",https://www.facebook.com/yumyumzabver/,838219335,chaikasaem@gmail.com,https://www.wongnai.com/delivery/businesses/447569pk,6/29/2021 11:55
เจ๊ใหญ่ หมี่เจกระทะเหล็ก ไม่มีสาขา,อาหารกล่อง/ข้าวกล่อง เดลิเวอรี/ก๋วยเตี๋ยว/สตรีทฟู้ด/รถเข็น,ต่ำกว่า 100 บาท,13.73818429,100.512483,https://img.wongnai.com/p/_-x_/2018/10/09/07fdd510fe95432a9120186753a900d2.jpg,อาหารกล่อง/ข้าวกล่อง เดลิเวอรี/ก๋วยเตี๋ยว/สตรีทฟู้ด/รถเข็น,Delivery Only/Noodles/Street Food,"{'open': False, 'message': 'จะเปิดในวันที่ 5 ต.ค. 2021', 'temporaryCloseStartDate': {'iso': '2020-10-26T00:00:00+07:00', 'full': 'จ., 26 ต.ค. 2020 00:00:00', 'timePassed': '26 ต.ค. 2020'}, 'temporaryCloseEndDate': {'iso': '2021-10-04T23:59:59+07:00', 'full': 'จ., 4 ต.ค. 2021 23:59:59', 'timePassed': 'เมื่อ เดือนที่แล้ว'}, 'closingSoon': False}","{'street': 'ถนนเยาวราช หน้าโรงพยาบาลเทียนฟ้า', 'hint': 'ปกติไม่มีหน้าร้าน แต่ช่วงเทศกาลเจ จะตั้งแผงอยู่หน้ามูลนิธิเทียนฟ้า', 'subDistrict': {'id': 36609, 'name': 'สัมพันธวงศ์'}, 'district': {'id': 68, 'name': 'สัมพันธวงศ์'}, 'city': {'id': 1, 'name': 'กรุงเทพมหานคร'}}",https://www.facebook.com/JyaimiiJ,"081-489-7454,081-428-5444",-,https://www.wongnai.com/delivery/businesses/250143VW,6/29/2021 11:55
